method,model,language,project,func_name,id,side
asap,70B,java,orientechnologies/orientdb,OETLHandler.executeImport,590,0.7367516756057739
asap,70B,java,orientechnologies/orientdb,OETLHandler.status,591,0.7421104907989502
asap,70B,java,orientechnologies/orientdb,OWALSegmentCache.truncate,592,0.9425691366195679
asap,70B,java,orientechnologies/orientdb,ODirtyManager.mergeSet,593,0.8639026880264282
asap,70B,java,orientechnologies/orientdb,OAbstractPaginatedStorage.preallocateRids,594,0.6769108176231384
asap,70B,java,orientechnologies/orientdb,OFileUtils.atomicMoveWithFallback,595,0.1292242556810379
asap,70B,java,orientechnologies/orientdb,OFileUtils.prepareForFileCreationOrReplacement,596,0.9687103033065796
asap,70B,java,orientechnologies/orientdb,OMicroTransaction.commit,597,0.8907293677330017
asap,70B,java,orientechnologies/orientdb,OMicroTransaction.rollback,598,0.9739367961883545
asap,70B,java,orientechnologies/orientdb,OMicroTransaction.updateIdentityAfterRecordCommit,599,0.8187319040298462
asap,70B,java,real-logic/aeron,ClusterMember.determineMember,600,0.7800058126449585
asap,70B,java,real-logic/aeron,SamplesUtil.mapCounters,601,0.7358327507972717
asap,70B,java,real-logic/aeron,BacklogStat.snapshot,602,0.8403457403182983
asap,70B,java,real-logic/aeron,CommonContext.requestDriverTermination,603,0.9156443476676941
asap,70B,java,real-logic/aeron,TerminateDriverFlyweight.tokenBuffer,604,0.8059530854225159
asap,70B,java,real-logic/aeron,RecordingLog.findLastTerm,605,0.8267712593078613
asap,70B,java,real-logic/aeron,SamplesUtil.mapExistingFileReadOnly,606,0.8020743131637573
asap,70B,java,real-logic/aeron,HeaderFlyweight.flagsToChars,607,0.9515969753265381
asap,70B,java,real-logic/aeron,Configuration.validateUnblockTimeout,608,0.9763539433479309
asap,70B,java,real-logic/aeron,ReplayMerge.close,609,0.9866174459457397
asap,70B,java,real-logic/aeron,ReplayMerge.doWork,610,0.3525232672691345
asap,70B,java,real-logic/aeron,Configuration.validateSessionIdRange,611,0.7862416505813599
asap,70B,java,real-logic/aeron,RecordingSubscriptionDescriptorPoller.reset,612,0.9688619375228882
